Country,Users
United States,"74,072"
China,"21,784"
United Kingdom,"17,209"
Germany,"16,914"
India,"13,889"
France,"12,168"
Italy,"9,182"
Japan,"8,492"
Canada,"7,903"
Spain,"7,209"
Netherlands,"6,542"
Australia,"5,542"
Brazil,"5,533"
South Korea,"4,781"
Russia,"3,776"
Chile,"3,736"
Switzerland,"3,197"
Taiwan,"2,639"
Mexico,"2,600"
Indonesia,"2,460"
Turkey,"2,302"
Poland,"2,277"
Hong Kong,"2,175"
Sweden,"1,860"
South Africa,"1,855"
Belgium,"1,719"
Israel,"1,678"
Austria,"1,469"
Argentina,"1,260"
Denmark,"1,256"
Singapore,"1,240"
Colombia,"1,226"
Norway,"1,161"
Ireland,"1,152"
Portugal,"1,101"
Czechia,"1,061"
Greece,"1,039"
Iran,"1,021"
(not set),"1,014"
Thailand,982
Finland,979
Ukraine,871
Hungary,650
Vietnam,646
Romania,633
United Arab Emirates,566
Egypt,557
Malaysia,541
New Zealand,540
Pakistan,504
Bangladesh,498
Philippines,482
Peru,376
Croatia,363
Slovakia,351
Kazakhstan,338
Saudi Arabia,325
Serbia,322
Morocco,287
Bulgaria,276
Slovenia,271
Tunisia,251
Sri Lanka,244
Nigeria,230
Nepal,226
Lithuania,219
Algeria,213
Costa Rica,163
Belarus,160
Ecuador,154
Kenya,146
Uruguay,142
Ethiopia,141
Estonia,130
Venezuela,129
Puerto Rico,121
Luxembourg,111
Armenia,107
Cyprus,101
Iraq,101
Lebanon,97
Latvia,94
Honduras,90
Azerbaijan,87
Ghana,83
Uzbekistan,83
Paraguay,82
Guatemala,78
Jordan,74
Georgia,70
Malta,69
Oman,62
Iceland,61
Bolivia,60
Bosnia & Herzegovina,57
Albania,53
Qatar,53
Uganda,52
Madagascar,51
Dominican Republic,46
Macao,45
Moldova,44
Rwanda,44
Cameroon,43
North Macedonia,43
Myanmar (Burma),43
Senegal,40
Panama,38
Mauritius,37
Kuwait,36
Kosovo,34
Tanzania,33
Zimbabwe,31
Burkina Faso,30
Mozambique,30
El Salvador,30
Cambodia,29
Côte d’Ivoire,26
Mongolia,26
Palestine,26
Andorra,21
Botswana,21
Brunei,19
Afghanistan,18
Bahrain,18
Bermuda,18
Sudan,18
Yemen,18
Zambia,18
Cuba,17
Libya,17
Réunion,17
Angola,16
Congo - Kinshasa,16
Trinidad & Tobago,16
U.S. Virgin Islands,16
Namibia,15
Kyrgyzstan,14
Nicaragua,14
Jamaica,12
Syria,12
Belize,11
Bhutan,9
Faroe Islands,9
Maldives,9
Barbados,8
North Korea,8
New Caledonia,8
French Polynesia,8
Svalbard & Jan Mayen,8
Benin,7
Bahamas,7
Montenegro,7
Martinique,7
Malawi,7
Seychelles,7
Curaçao,6
Guernsey,6
Greenland,6
Guadeloupe,6
Somalia,6
Togo,6
Antarctica,5
Cape Verde,5
Guyana,5
Haiti,5
Jersey,5
Laos,5
Papua New Guinea,5
Guam,4
Liechtenstein,4
Mali,4
Niger,4
San Marino,4
Turkmenistan,4
American Samoa,3
Aruba,3
Åland Islands,3
Caribbean Netherlands,3
Gabon,3
French Guiana,3
Lesotho,3
Monaco,3
Mauritania,3
Eswatini,3
Anguilla,2
Burundi,2
Congo - Brazzaville,2
Fiji,2
Gibraltar,2
Guinea,2
Equatorial Guinea,2
Liberia,2
Sierra Leone,2
Suriname,2
Tajikistan,2
British Virgin Islands,2
Western Sahara,1
Gambia,1
Kiribati,1
St. Kitts & Nevis,1
Cayman Islands,1
Turks & Caicos Islands,1
Chad,1
Timor-Leste,1
